eventID,type,parentEventID,eventRemarks,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS:GoA2019:Stn16:bongo:Net1,bongo net cast,IYS:GoA2019:Stn16,cast,2019-02-26T09:25:00Z,2019,2,26,53.666666666666664,-147.5,250,0,POINT  ( -147.5   53.666666666666664 ),0,WGS84
IYS:GoA2019:Stn16:bongo:Net2,bongo net cast,IYS:GoA2019:Stn16,cast,2019-02-26T09:25:00Z,2019,2,26,53.666666666666664,-147.5,250,0,POINT  ( -147.5   53.666666666666664 ),0,WGS84
IYS:GoA2019:Stn17:bongo:Net1,bongo net cast,IYS:GoA2019:Stn17,cast,2019-02-26T17:45:00Z,2019,2,26,54.666666666666664,-147.5,250,0,POINT  ( -147.5   54.666666666666664 ),0,WGS84
IYS:GoA2019:Stn17:bongo:Net2,bongo net cast,IYS:GoA2019:Stn17,cast,2019-02-26T17:45:00Z,2019,2,26,54.666666666666664,-147.5,250,0,POINT  ( -147.5   54.666666666666664 ),0,WGS84
IYS:GoA2019:Stn18:bongo:Net1,bongo net cast,IYS:GoA2019:Stn18,cast,2019-02-27T02:30:00Z,2019,2,27,55.668333333333337,-147.49950000000001,250,0,POINT  ( -147.49950000000001   55.668333333333337 ),0,WGS84
IYS:GoA2019:Stn18:bongo:Net2,bongo net cast,IYS:GoA2019:Stn18,cast,2019-02-27T02:30:00Z,2019,2,27,55.668333333333337,-147.49950000000001,250,0,POINT  ( -147.49950000000001   55.668333333333337 ),0,WGS84
IYS:GoA2019:Stn19:bongo:Net1,bongo net cast,IYS:GoA2019:Stn19,cast,2019-02-27T10:27:00Z,2019,2,27,56.666666666666664,-147.5,250,0,POINT  ( -147.5   56.666666666666664 ),0,WGS84
IYS:GoA2019:Stn19:bongo:Net2,bongo net cast,IYS:GoA2019:Stn19,cast,2019-02-27T10:27:00Z,2019,2,27,56.666666666666664,-147.5,250,0,POINT  ( -147.5   56.666666666666664 ),0,WGS84
IYS:GoA2019:Stn20:bongo:Net1,bongo net cast,IYS:GoA2019:Stn20,cast,2019-02-27T18:15:00Z,2019,2,27,56.667333333333332,-146,250,0,POINT  ( -146   56.667333333333332 ),0,WGS84
IYS:GoA2019:Stn20:bongo:Net2,bongo net cast,IYS:GoA2019:Stn20,cast,2019-02-27T18:15:00Z,2019,2,27,56.667333333333332,-146,250,0,POINT  ( -146   56.667333333333332 ),0,WGS84
IYS:GoA2019:Stn21:bongo:Net1,bongo net cast,IYS:GoA2019:Stn21,cast,2019-02-28T01:50:00Z,2019,2,28,56.666666666666664,-144.5,250,0,POINT  ( -144.5   56.666666666666664 ),0,WGS84
